delivery_id,region,stove_model,quantity,distance_km,delivery_time_days,promised_time_days,on_time,vehicle_type,month,quarter,year,delay_days,is_delayed,revenue
DEL00054,Kakamega,KuniOx,2,401.3,9.7,9.6,True,Van,2,1,2024,0.09999999999999964,True,8400
DEL00055,Bungoma,Jikokoa,20,299.1,9.7,7.9,True,Lorry,4,2,2024,1.799999999999999,True,70000
DEL00056,Kisumu,MOTO,1,337.4,6.3,5.1,False,Van,3,1,2025,1.2000000000000002,True,2800
DEL00057,Nakuru,SmartStove,5,128.2,3.3,3.1,True,Van,9,3,2025,0.19999999999999973,True,22500
DEL00058,Bungoma,KuniOx,1,157.8,3.9,3.4,True,Van,4,2,2025,0.5,True,4200
DEL00059,Kilifi,Jikokoa,5,536.3,13.2,13.2,True,Van,10,4,2026,0.0,False,17500
DEL00060,Kiambu,MOTO,2,15.7,0.4,0.4,True,Van,10,4,2024,0.0,False,5600
DEL00061,Kitui,EcoZoom,1,228.3,5.3,5.0,True,Van,10,4,2025,0.2999999999999998,True,3900
DEL00062,Mombasa,MOTO,10,513.3,9.7,8.8,True,Lorry,9,3,2024,0.8999999999999986,True,28000
DEL00063,Nairobi,KuniOx,1,24.5,0.6,0.6,True,Van,8,3,2025,0.0,False,4200
DEL00064,Meru,Jikokoa,5,202.1,4.0,3.8,True,Van,6,2,2024,0.20000000000000018,True,17500
DEL00065,Mombasa,KuniOx,2,519.4,13.1,13.7,True,Van,8,3,2025,0.0,False,8400
DEL00066,Uasin Gishu,EcoZoom,1,325.2,9.3,7.4,True,Van,11,4,2026,1.9000000000000004,True,3900
DEL00067,Kiambu,EcoZoom,1,41.5,0.8,0.7,False,Van,9,3,2026,0.10000000000000009,True,3900
DEL00068,Kitui,EcoZoom,2,203.8,4.5,3.7,True,Van,12,4,2024,0.7999999999999998,True,7800
DEL00069,Migori,EcoZoom,1,235.4,6.9,5.9,True,Van,4,2,2025,1.0,True,3900
DEL00070,Kisumu,MOTO,10,325.9,6.6,6.2,True,Lorry,1,1,2025,0.39999999999999947,True,28000
DEL00071,Homa Bay,KuniOx,1,139.4,3.5,3.6,True,Van,9,3,2024,0.0,False,4200
DEL00072,Machakos,Jikokoa,2,53.0,1.2,1.2,True,Van,6,2,2024,0.0,False,7000
DEL00073,Migori,Jikokoa,2,310.7,5.1,4.9,True,Van,2,1,2025,0.1999999999999993,True,7000
DEL00074,Meru,SmartStove,1,202.5,5.1,5.2,True,Van,9,3,2024,0.0,False,4500
DEL00075,Makueni,Jikokoa,2,235.7,6.7,5.3,True,Van,11,4,2025,1.4000000000000004,True,7000
DEL00076,Homa Bay,SmartStove,1,296.0,7.4,6.4,True,Van,12,4,2025,1.0,True,4500
DEL00077,Migori,Jikokoa,2,254.2,5.2,4.1,True,Van,4,2,2026,1.1000000000000005,True,7000
DEL00078,Kakamega,KuniOx,1,408.5,8.7,8.6,True,Van,6,2,2025,0.09999999999999964,True,4200
DEL00079,Busia,EcoZoom,2,276.5,7.7,5.3,True,Van,11,4,2025,2.4000000000000004,True,7800
DEL00080,Makueni,KuniOx,2,207.0,5.0,5.2,True,Van,8,3,2025,0.0,False,8400
DEL00081,Kitui,EcoZoom,2,131.0,3.1,3.0,True,Van,2,1,2026,0.10000000000000009,True,7800
DEL00082,Bungoma,KuniOx,5,381.9,7.1,6.6,True,Van,7,3,2025,0.5,True,21000
DEL00083,Makueni,SmartStove,5,133.9,4.2,3.6,True,Van,5,2,2025,0.6000000000000001,True,22500
DEL00084,Busia,EcoZoom,20,329.6,8.1,8.7,True,Lorry,9,3,2025,0.0,False,78000
DEL00085,Migori,MOTO,2,263.7,4.3,4.4,True,Van,8,3,2025,0.0,False,5600
DEL00086,Kilifi,KuniOx,2,520.6,12.6,13.3,True,Van,2,1,2025,0.0,False,8400
DEL00087,Bungoma,SmartStove,2,149.9,4.1,3.4,True,Van,12,4,2025,0.6999999999999997,True,9000
DEL00088,Kisumu,KuniOx,20,331.3,8.0,7.4,True,Lorry,6,2,2025,0.5999999999999996,True,84000
DEL00089,Uasin Gishu,SmartStove,1,316.7,5.9,6.2,True,Van,2,1,2025,0.0,False,4500
DEL00090,Kisumu,EcoZoom,1,309.0,6.7,5.4,True,Van,11,4,2025,1.2999999999999998,True,3900
DEL00091,Migori,Jikokoa,5,131.2,3.2,2.9,True,Van,4,2,2026,0.30000000000000027,True,17500
DEL00092,Nakuru,Jikokoa,2,141.3,2.8,2.7,True,Van,6,2,2024,0.09999999999999964,True,7000
DEL00093,Homa Bay,KuniOx,2,222.8,7.7,5.0,False,Van,12,4,2025,2.7,True,8400
DEL00094,Busia,SmartStove,2,359.4,8.6,7.2,True,Van,4,2,2024,1.3999999999999995,True,9000
DEL00095,Kiambu,Jikokoa,10,47.8,1.0,1.0,True,Lorry,10,4,2025,0.0,False,35000
DEL00096,Migori,MOTO,2,387.2,10.0,10.2,True,Van,6,2,2025,0.0,False,5600
DEL00097,Kitui,Jikokoa,2,388.9,11.6,10.0,True,Van,4,2,2024,1.5999999999999996,True,7000
DEL00098,Kakamega,SmartStove,2,363.4,7.8,6.0,True,Van,12,4,2024,1.7999999999999998,True,9000
DEL00099,Makueni,EcoZoom,5,221.4,4.5,4.6,True,Van,6,2,2026,0.0,False,19500
DEL00100,Mombasa,SmartStove,1,451.3,13.2,12.5,True,Van,4,2,2024,0.6999999999999993,True,4500
DEL00101,Bungoma,SmartStove,10,335.5,9.4,10.0,True,Lorry,9,3,2026,0.0,False,45000
DEL00102,Kiambu,EcoZoom,2,24.8,0.8,0.6,True,Van,12,4,2025,0.20000000000000007,True,7800
DEL00103,Migori,Jikokoa,5,382.7,9.3,7.7,True,Van,5,2,2025,1.6000000000000005,True,17500
DEL00104,Makueni,KuniOx,2,332.4,7.2,6.6,False,Van,2,1,2025,0.6000000000000005,True,8400
DEL00105,Kisumu,EcoZoom,1,355.2,7.7,7.5,True,Van,2,1,2026,0.20000000000000018,True,3900
DEL00106,Busia,EcoZoom,2,326.5,8.1,8.5,True,Van,7,3,2024,0.0,False,7800
DEL00107,Makueni,MOTO,1,145.2,3.0,3.1,True,Van,1,1,2025,0.0,False,2800
DEL00108,Kitui,MOTO,1,183.4,4.6,4.7,True,Van,9,3,2025,0.0,False,2800
DEL00109,Makueni,MOTO,1,210.4,3.7,3.6,True,Van,8,3,2025,0.10000000000000009,True,2800
DEL00110,Kilifi,EcoZoom,1,491.7,10.6,10.7,True,Van,3,1,2025,0.0,False,3900
DEL00111,Machakos,EcoZoom,5,59.9,1.6,1.5,True,Van,4,2,2025,0.10000000000000009,True,19500
DEL00112,Nairobi,KuniOx,50,14.3,0.5,0.5,True,Truck,10,4,2025,0.0,False,210000
DEL00113,Meru,EcoZoom,10,256.4,6.9,6.5,True,Lorry,1,1,2025,0.40000000000000036,True,39000
DEL00114,Makueni,SmartStove,20,219.7,5.5,4.9,False,Lorry,8,3,2024,0.5999999999999996,True,90000
DEL00115,Busia,EcoZoom,2,114.0,2.5,2.4,True,Van,2,1,2025,0.10000000000000009,True,7800
DEL00116,Machakos,KuniOx,5,71.5,1.7,1.3,True,Van,3,1,2025,0.3999999999999999,True,21000
DEL00117,Meru,SmartStove,5,251.6,5.7,5.2,True,Van,6,2,2026,0.5,True,22500
DEL00118,Kilifi,SmartStove,50,487.8,17.5,17.5,True,Truck,7,3,2026,0.0,False,225000
DEL00119,Kilifi,EcoZoom,1,534.0,11.1,12.0,True,Van,1,1,2025,0.0,False,3900
DEL00120,Nakuru,EcoZoom,2,125.6,2.3,2.5,True,Van,2,1,2024,0.0,False,7800
DEL00121,Kisumu,EcoZoom,1,353.8,10.5,9.4,True,Van,3,1,2026,1.0999999999999996,True,3900
DEL00122,Busia,Jikokoa,5,258.2,8.4,6.2,True,Van,5,2,2025,2.2,True,17500
DEL00123,Meru,EcoZoom,1,249.2,4.3,4.0,True,Van,1,1,2024,0.2999999999999998,True,3900
DEL00124,Kisumu,KuniOx,5,339.1,8.9,7.1,True,Van,12,4,2024,1.8000000000000007,True,21000
DEL00125,Kisumu,EcoZoom,20,320.4,9.2,7.5,True,Lorry,12,4,2024,1.6999999999999993,True,78000
DEL00126,Nairobi,MOTO,2,5.0,0.1,0.1,True,Van,6,2,2026,0.0,False,5600
DEL00127,Nakuru,MOTO,1,170.4,2.9,2.7,True,Van,9,3,2024,0.19999999999999973,True,2800
DEL00128,Uasin Gishu,EcoZoom,1,331.1,5.6,5.3,True,Van,1,1,2024,0.2999999999999998,True,3900
DEL00129,Homa Bay,MOTO,1,360.6,9.3,8.4,False,Van,7,3,2025,0.9000000000000004,True,2800
DEL00130,Homa Bay,EcoZoom,1,139.5,4.7,3.7,True,Van,12,4,2025,1.0,True,3900
DEL00131,Machakos,Jikokoa,2,41.8,0.8,0.8,True,Van,4,2,2025,0.0,False,7000
DEL00132,Kakamega,Jikokoa,1,406.2,11.2,8.4,True,Van,3,1,2025,2.799999999999999,True,3500
DEL00133,Machakos,SmartStove,1,69.2,1.7,1.8,True,Van,5,2,2025,0.0,False,4500
DEL00134,Machakos,SmartStove,2,66.5,1.3,1.4,True,Van,2,1,2025,0.0,False,9000
DEL00135,Meru,KuniOx,2,207.2,4.4,3.3,False,Van,12,4,2025,1.1000000000000005,True,8400
DEL00136,Migori,KuniOx,10,262.8,7.2,6.0,True,Lorry,3,1,2025,1.2000000000000002,True,42000
DEL00137,Meru,MOTO,1,208.6,3.8,3.5,True,Van,12,4,2025,0.2999999999999998,True,2800
DEL00138,Bungoma,MOTO,2,108.3,3.3,2.8,True,Van,11,4,2026,0.5,True,5600
DEL00139,Bungoma,KuniOx,2,398.5,7.2,7.0,True,Van,4,2,2026,0.20000000000000018,True,8400
DEL00140,Kakamega,EcoZoom,5,408.7,8.8,8.4,True,Van,4,2,2025,0.40000000000000036,True,19500
DEL00141,Uasin Gishu,SmartStove,1,314.2,7.1,6.6,True,Van,3,1,2025,0.5,True,4500
DEL00142,Kiambu,MOTO,2,31.0,0.5,0.6,True,Van,6,2,2025,0.0,False,5600
DEL00143,Kilifi,EcoZoom,5,508.5,11.6,12.7,True,Van,9,3,2024,0.0,False,19500
DEL00144,Migori,Jikokoa,1,378.8,10.6,9.5,True,Van,5,2,2026,1.0999999999999996,True,3500
DEL00145,Uasin Gishu,MOTO,1,280.9,6.7,7.0,True,Van,9,3,2025,0.0,False,2800
DEL00146,Kisumu,MOTO,1,304.7,7.9,7.9,True,Van,2,1,2024,0.0,False,2800
DEL00147,Machakos,KuniOx,20,49.3,1.1,1.1,True,Lorry,1,1,2025,0.0,False,84000
DEL00148,Busia,SmartStove,2,291.1,7.4,5.8,True,Van,5,2,2025,1.6000000000000005,True,9000
DEL00149,Kitui,EcoZoom,2,100.0,1.7,1.6,True,Van,6,2,2026,0.09999999999999987,True,7800
DEL00150,Uasin Gishu,KuniOx,20,313.9,7.6,7.4,True,Lorry,8,3,2026,0.1999999999999993,True,84000
DEL00151,Mombasa,Jikokoa,20,499.3,15.8,13.2,True,Lorry,5,2,2025,2.6000000000000014,True,70000
DEL00152,Mombasa,KuniOx,2,483.3,9.9,10.4,True,Van,9,3,2025,0.0,False,8400
DEL00153,Bungoma,Jikokoa,2,240.4,4.1,3.8,False,Van,9,3,2026,0.2999999999999998,True,7000
DEL00154,Kakamega,KuniOx,20,408.7,9.2,9.6,True,Lorry,9,3,2026,0.0,False,84000
DEL00155,Homa Bay,KuniOx,1,136.1,2.2,2.1,True,Van,1,1,2025,0.10000000000000009,True,4200
DEL00156,Machakos,EcoZoom,1,67.0,1.2,1.3,True,Van,9,3,2026,0.0,False,3900
DEL00157,Kiambu,EcoZoom,1,17.1,0.4,0.4,True,Van,9,3,2025,0.0,False,3900
DEL00158,Kilifi,MOTO,10,500.3,12.7,11.6,True,Lorry,1,1,2026,1.0999999999999996,True,28000
DEL00159,Kisumu,EcoZoom,2,318.1,6.3,5.7,True,Van,3,1,2025,0.5999999999999996,True,7800
DEL00160,Homa Bay,SmartStove,50,313.5,10.2,9.7,True,Truck,9,3,2026,0.5,True,225000
DEL00161,Machakos,KuniOx,5,60.9,1.2,1.2,True,Van,7,3,2025,0.0,False,21000
DEL00162,Kisumu,KuniOx,5,300.5,5.4,5.3,True,Van,9,3,2025,0.10000000000000053,True,21000
DEL00163,Homa Bay,SmartStove,1,109.8,2.3,2.2,True,Van,1,1,2025,0.09999999999999964,True,4500
DEL00164,Kisumu,SmartStove,1,314.4,9.1,7.5,True,Van,4,2,2025,1.5999999999999996,True,4500
DEL00165,Nakuru,SmartStove,1,136.9,3.5,2.8,True,Van,3,1,2024,0.7000000000000002,True,4500
DEL00166,Busia,Jikokoa,2,347.4,8.3,6.6,False,Van,4,2,2024,1.700000000000001,True,7000
DEL00167,Busia,SmartStove,5,100.4,3.2,2.6,True,Van,4,2,2026,0.6000000000000001,True,22500
DEL00168,Machakos,KuniOx,2,76.1,1.8,1.6,True,Van,10,4,2025,0.19999999999999996,True,8400
DEL00169,Bungoma,KuniOx,2,254.2,5.1,5.5,True,Van,8,3,2024,0.0,False,8400
DEL00170,Kitui,MOTO,1,147.2,3.5,3.6,True,Van,7,3,2025,0.0,False,2800
DEL00171,Nairobi,MOTO,2,17.1,0.4,0.4,True,Van,1,1,2026,0.0,False,5600
DEL00172,Nakuru,SmartStove,1,171.8,4.6,4.4,True,Van,5,2,2025,0.1999999999999993,True,4500
DEL00173,Machakos,MOTO,2,40.8,1.0,1.1,True,Van,8,3,2025,0.0,False,5600
DEL00174,Busia,KuniOx,5,225.5,4.0,3.8,True,Van,2,1,2026,0.20000000000000018,True,21000
DEL00175,Meru,Jikokoa,1,234.9,5.8,5.3,True,Van,3,1,2024,0.5,True,3500
DEL00176,Kilifi,KuniOx,20,498.7,11.1,11.5,True,Lorry,1,1,2025,0.0,False,84000
DEL00177,Kakamega,Jikokoa,2,381.4,7.7,7.0,True,Van,1,1,2024,0.7000000000000002,True,7000
DEL00178,Kisumu,Jikokoa,10,343.5,7.2,6.8,True,Lorry,4,2,2025,0.40000000000000036,True,35000
DEL00179,Kilifi,MOTO,1,481.0,9.1,8.6,True,Van,8,3,2025,0.5,True,2800
DEL00180,Kiambu,MOTO,2,35.9,0.7,0.7,True,Van,8,3,2024,0.0,False,5600
DEL00181,Kilifi,Jikokoa,5,524.1,12.8,11.0,True,Van,12,4,2025,1.8000000000000007,True,17500
DEL00182,Kiambu,KuniOx,1,42.5,0.9,0.9,True,Van,5,2,2024,0.0,False,4200
DEL00183,Kilifi,EcoZoom,1,517.5,12.7,13.4,True,Van,7,3,2024,0.0,False,3900
DEL00184,Machakos,SmartStove,5,55.7,1.6,1.5,True,Van,3,1,2024,0.10000000000000009,True,22500
DEL00185,Meru,SmartStove,2,231.9,4.6,4.5,True,Van,10,4,2026,0.09999999999999964,True,9000
DEL00186,Kilifi,KuniOx,50,532.5,16.1,16.9,True,Truck,1,1,2025,0.0,False,210000
DEL00187,Kilifi,KuniOx,5,503.6,9.6,9.3,True,Van,1,1,2025,0.29999999999999893,True,21000
DEL00188,Kilifi,Jikokoa,5,541.7,13.4,13.3,True,Van,6,2,2026,0.09999999999999964,True,17500
DEL00189,Nakuru,EcoZoom,1,147.1,2.9,2.7,True,Van,12,4,2025,0.19999999999999973,True,3900
DEL00190,Kitui,EcoZoom,2,318.8,9.9,7.3,True,Van,12,4,2025,2.6000000000000005,True,7800
DEL00191,Bungoma,MOTO,2,264.4,5.7,5.4,True,Van,4,2,2025,0.2999999999999998,True,5600
DEL00192,Makueni,EcoZoom,2,273.6,5.8,4.9,True,Van,11,4,2024,0.8999999999999995,True,7800
DEL00193,Bungoma,Jikokoa,5,297.9,7.2,6.1,True,Van,3,1,2025,1.1000000000000005,True,17500
DEL00194,Nairobi,SmartStove,5,25.6,0.6,0.6,True,Van,8,3,2024,0.0,False,22500
DEL00195,Kitui,SmartStove,10,398.8,10.7,10.2,True,Lorry,6,2,2025,0.5,True,45000
DEL00196,Kakamega,MOTO,1,419.8,13.1,10.2,True,Van,12,4,2024,2.9000000000000004,True,2800
DEL00197,Kakamega,KuniOx,5,415.7,9.9,9.2,True,Van,9,3,2024,0.7000000000000011,True,21000
DEL00198,Nakuru,MOTO,2,151.7,3.5,3.6,True,Van,2,1,2024,0.0,False,5600
DEL00199,Bungoma,SmartStove,2,112.7,2.4,2.6,True,Van,2,1,2024,0.0,False,9000
DEL00200,Makueni,Jikokoa,20,183.1,4.8,4.9,True,Lorry,8,3,2025,0.0,False,70000
DEL00201,Kisumu,SmartStove,1,352.9,9.4,9.4,True,Van,4,2,2025,0.0,False,4500
DEL00202,Kitui,Jikokoa,1,215.7,4.2,3.7,True,Van,4,2,2026,0.5,True,3500
DEL00203,Makueni,EcoZoom,10,106.2,2.5,2.2,True,Lorry,4,2,2026,0.2999999999999998,True,39000
DEL00204,Kitui,KuniOx,1,251.7,5.7,5.4,True,Van,7,3,2024,0.2999999999999998,True,4200
DEL00205,Machakos,KuniOx,10,66.7,2.0,2.0,True,Lorry,4,2,2025,0.0,False,42000
DEL00206,Migori,Jikokoa,20,158.9,3.4,3.4,True,Lorry,9,3,2025,0.0,False,70000
DEL00207,Busia,EcoZoom,2,371.0,8.2,8.3,True,Van,9,3,2025,0.0,False,7800
DEL00208,Makueni,MOTO,2,256.6,6.2,6.3,True,Van,10,4,2025,0.0,False,5600
DEL00209,Kisumu,EcoZoom,20,321.1,8.0,7.9,True,Lorry,9,3,2025,0.09999999999999964,True,78000
DEL00210,Machakos,KuniOx,1,59.0,1.7,1.3,True,Van,12,4,2024,0.3999999999999999,True,4200
DEL00211,Kisumu,Jikokoa,20,347.8,9.6,9.8,True,Lorry,10,4,2025,0.0,False,70000
DEL00212,Bungoma,MOTO,1,126.3,3.2,2.5,True,Van,5,2,2025,0.7000000000000002,True,2800
DEL00213,Nakuru,EcoZoom,5,131.5,4.1,2.9,True,Van,12,4,2025,1.1999999999999997,True,19500
DEL00214,Nakuru,MOTO,1,179.5,3.5,3.5,True,Van,2,1,2024,0.0,False,2800
DEL00215,Uasin Gishu,KuniOx,5,327.1,11.6,8.2,True,Van,12,4,2025,3.4000000000000004,True,21000
DEL00216,Machakos,Jikokoa,1,46.9,1.1,1.1,True,Van,8,3,2024,0.0,False,3500
DEL00217,Mombasa,Jikokoa,1,457.4,8.6,9.0,True,Van,10,4,2025,0.0,False,3500
DEL00218,Machakos,SmartStove,2,41.3,0.8,0.9,True,Van,6,2,2025,0.0,False,9000
DEL00219,Busia,Jikokoa,5,141.4,3.7,3.9,True,Van,6,2,2025,0.0,False,17500
DEL00220,Migori,Jikokoa,2,215.4,4.2,4.5,True,Van,6,2,2025,0.0,False,7000
DEL00221,Kilifi,Jikokoa,1,539.1,15.0,12.1,True,Van,12,4,2025,2.9000000000000004,True,3500
DEL00222,Kisumu,EcoZoom,1,319.2,5.9,5.6,True,Van,8,3,2024,0.3000000000000007,True,3900
DEL00223,Homa Bay,EcoZoom,20,380.3,10.9,10.5,True,Lorry,3,1,2025,0.40000000000000036,True,78000
DEL00224,Kiambu,SmartStove,2,28.9,0.5,0.6,True,Van,9,3,2025,0.0,False,9000
DEL00225,Kisumu,MOTO,1,341.8,7.7,7.6,True,Van,10,4,2024,0.10000000000000053,True,2800
DEL00226,Homa Bay,EcoZoom,1,148.1,3.0,3.2,True,Van,10,4,2024,0.0,False,3900
DEL00227,Kilifi,Jikokoa,1,499.6,12.8,12.0,True,Van,1,1,2024,0.8000000000000007,True,3500
DEL00228,Nakuru,SmartStove,2,166.9,4.0,3.7,True,Van,7,3,2025,0.2999999999999998,True,9000
DEL00229,Uasin Gishu,EcoZoom,1,285.7,6.0,5.5,True,Van,4,2,2025,0.5,True,3900
DEL00230,Nakuru,EcoZoom,1,133.0,3.9,3.3,True,Van,3,1,2024,0.6000000000000001,True,3900
DEL00231,Busia,SmartStove,1,131.7,3.0,3.0,True,Van,6,2,2025,0.0,False,4500
DEL00232,Migori,EcoZoom,2,240.3,6.4,4.9,True,Van,12,4,2025,1.5,True,7800
DEL00233,Makueni,SmartStove,5,295.6,7.9,7.6,True,Van,4,2,2024,0.3000000000000007,True,22500
DEL00234,Uasin Gishu,KuniOx,1,314.5,7.3,6.9,True,Van,8,3,2025,0.39999999999999947,True,4200
DEL00235,Kilifi,SmartStove,2,488.8,12.0,12.8,True,Van,7,3,2025,0.0,False,9000
DEL00236,Nairobi,MOTO,1,18.7,0.4,0.4,True,Van,10,4,2025,0.0,False,2800
DEL00237,Uasin Gishu,EcoZoom,1,316.9,9.4,7.8,True,Van,3,1,2024,1.6000000000000005,True,3900
DEL00238,Kakamega,EcoZoom,5,356.6,8.9,8.2,True,Van,1,1,2024,0.7000000000000011,True,19500
DEL00239,Nakuru,Jikokoa,50,125.5,3.4,3.4,True,Truck,1,1,2025,0.0,False,175000
DEL00240,Machakos,MOTO,10,58.6,1.4,1.5,True,Lorry,1,1,2025,0.0,False,28000
DEL00241,Nakuru,SmartStove,2,162.0,4.0,3.9,True,Van,3,1,2025,0.10000000000000009,True,9000
DEL00242,Kilifi,MOTO,1,524.6,12.4,11.5,True,Van,4,2,2025,0.9000000000000004,True,2800
DEL00243,Nairobi,MOTO,1,25.2,0.5,0.4,True,Van,9,3,2026,0.09999999999999998,True,2800
DEL00244,Kakamega,Jikokoa,10,375.9,10.1,7.8,True,Lorry,3,1,2026,2.3,True,35000
DEL00245,Makueni,EcoZoom,2,382.2,10.0,9.3,True,Van,10,4,2024,0.6999999999999993,True,7800
DEL00246,Makueni,SmartStove,1,209.1,4.2,3.4,True,Van,4,2,2024,0.8000000000000003,True,4500
